block_number,background_color_index,wave_color_index,is_glitch,has_echo,echo_count
347172,#555555,#00CCFF,false,true,4
347173,#CC0033,#9900FF,false,true,3
347174,#00FFFF,#FF0066,false,true,5
347175,#CC0033,#FF0066,false,true,5
347176,#008080,#FF0066,false,true,5
347177,#ADFF2F,#9900FF,false,true,3
347178,#00FFFF,#9900FF,false,true,3
347179,#FFA500,#FF0066,false,true,5
347180,#008080,#FF0066,false,true,6
347181,#FFA500,#FF0066,false,true,5
347182,#edebeb,#FF0066,false,true,5
347183,#edebeb,#00CCFF,false,true,4
347184,#FFA500,#00CCFF,false,true,4
347185,#00FFFF,#00CCFF,false,true,4
347186,#555555,#FF0066,false,true,4
347187,#CC0033,#9900FF,false,true,
347188,#9370DB,#00CCFF,false,true,5
347189,#00FFFF,#FF0066,true,true,6
347190,#ADFF2F,#FF0066,false,true,5
347191,#00FFFF,#FF0066,false,true,6
347192,#ADFF2F,#FF0066,false,true,5
347193,#00FFFF,#0000FF,false,true,6
347194,#9370DB,#FF0066,false,true,6
347195,#008080,#FF0066,true,true,6
347196,#edebeb,#9900FF,false,true,
347197,#008080,#00CCFF,false,true,4
347198,#00FFFF,#00CCFF,false,true,4
347199,#9370DB,#00CCFF,false,true,3
347200,#CC0033,#00CCFF,false,true,4
347201,#ADFF2F,#9900FF,false,true,3
347202,#CC0033,#00CCFF,false,true,5
347203,#ADFF2F,#FF0066,false,true,5
347204,#ADFF2F,#FF6600,false,true,3
347205,#9370DB,#00CCFF,false,true,5
347206,#9370DB,#00CCFF,false,true,4
347207,#00FFFF,#FF0066,false,true,5
347208,#CC0033,#FF0066,false,true,6
347209,#008080,#FF0066,true,true,6
347210,#008080,#FF0066,false,true,4
347211,#9370DB,#FF0066,false,true,6
347212,#CC0033,#FF0066,false,true,6
347213,#9370DB,#00CCFF,false,true,4
347214,#008080,#9900FF,false,true,
347215,#00FFFF,#00CCFF,false,true,4
347216,#00FFFF,#FF0066,false,true,6
347217,#008080,#FF0066,false,true,4
347218,#008080,#FF0066,false,true,5
347219,#9370DB,#00CCFF,false,true,4
347220,#FFA500,#FF0066,false,true,6
347221,#555555,#FF0066,false,true,5
347222,#CC0033,#00CCFF,false,true,4
347223,#ADFF2F,#FF0066,false,true,5
347224,#9370DB,#00CCFF,false,true,4
347225,#555555,#FF0066,false,true,5
347226,#CC0033,#FF0066,false,true,5
347227,#edebeb,#FF0066,false,true,5
347228,#555555,#FF0066,false,true,6
347229,#555555,#00CCFF,false,true,4
347230,#008080,#FF0066,true,true,6
347231,#edebeb,#FF0066,false,true,6
347232,#9370DB,#9900FF,false,true,3
347233,#555555,#00CCFF,false,true,4
347234,#9370DB,#9900FF,false,true,4
347235,#008080,#FF0066,false,true,6
347236,#FFA500,#00CCFF,false,true,5
347237,#ADFF2F,#00CCFF,false,true,4
347238,#ADFF2F,#FF0066,false,true,5
347239,#555555,#FF0066,false,true,6
347240,#ADFF2F,#00CCFF,false,true,5
347241,#00FFFF,#FF0066,true,true,6
347242,#00FFFF,#FF0066,true,true,6
347243,#edebeb,#FF0066,false,true,5
347244,#ADFF2F,#00CCFF,false,true,4
347245,#ADFF2F,#00CCFF,false,true,4
347246,#ADFF2F,#FF0066,false,true,6
347247,#9370DB,#00CCFF,false,true,4
347248,#ADFF2F,#FF0066,false,true,6
347249,#00FFFF,#FF0066,false,true,5
347250,#edebeb,#00CCFF,false,true,4
347251,#008080,#9900FF,false,true,3
347252,#edebeb,#FF0066,false,true,5
347253,#555555,#00CCFF,false,true,4
347254,#008080,#FF0066,false,true,5
347255,#FFA500,#FF0066,false,true,5
347256,#ADFF2F,#00CCFF,false,true,4
347257,#ADFF2F,#FF0066,false,true,6
347258,#edebeb,#FF0066,false,true,5
347259,#edebeb,#FF0066,false,true,6
347260,#ADFF2F,#00CCFF,false,true,5
347261,#CC0033,#FF0066,false,true,6
347262,#ADFF2F,#FF0066,false,true,6
347263,#00FFFF,#FF0066,false,true,5
347264,#edebeb,#FF0066,false,true,5
347265,#008080,#FF0066,false,true,6
347266,#555555,#FF0066,false,true,6
347267,#9370DB,#FF0066,false,true,6
347268,#008080,#FF0066,false,true,5
347269,#CC0033,#FF0066,false,true,6
347270,#edebeb,#FF0066,true,true,6
347271,#555555,#FF0066,false,true,5
347272,#CC0033,#00CCFF,false,true,4
347273,#008080,#00CCFF,false,true,3
347274,#555555,#FF0066,true,true,6
347275,#edebeb,#FF0066,false,true,5
347276,#9370DB,#FF0066,false,true,6
347277,#008080,#00CCFF,false,true,4
347278,#ADFF2F,#FF0066,false,true,6
347279,#edebeb,#FF0066,false,true,6
347280,#00FFFF,#FF0066,false,true,5
347281,#555555,#00CCFF,false,true,4
347282,#edebeb,#FF0066,false,true,6
347283,#FFA500,#00CCFF,false,true,4
347284,#9370DB,#FF0066,false,true,6
347285,#CC0033,#FF0066,false,true,6
347286,#008080,#00CCFF,false,true,4
347287,#ADFF2F,#9900FF,false,true,
347288,#008080,#00CCFF,false,true,4
347289,#FFA500,#FF0066,false,true,5
347290,#008080,#FF0066,true,true,6
347291,#edebeb,#00CCFF,false,true,4
347292,#ADFF2F,#00CCFF,false,true,4
347293,#edebeb,#FF0066,false,true,6
347294,#555555,#9900FF,false,true,3
347295,#edebeb,#FF0066,false,true,4
347296,#ADFF2F,#FF0066,true,true,6
347297,#9370DB,#FF0066,true,true,6
347298,#008080,#FF0066,true,true,6
347299,#ADFF2F,#FF0066,true,true,6
347300,#FFA500,#00CCFF,false,true,4
347301,#00FFFF,#FF0066,true,true,6
347302,#edebeb,#FF0066,false,true,6
347303,#00FFFF,#00CCFF,false,true,3
347304,#edebeb,#FF0066,false,true,6
347305,#FFA500,#FF0066,false,true,5
347306,#CC0033,#FF0066,false,true,6
347307,#edebeb,#FF0066,false,true,5
347308,#008080,#FF0066,false,true,6
347309,#FFA500,#FF0066,false,true,5
347310,#ADFF2F,#00CCFF,false,true,4
347311,#555555,#9900FF,false,true,3
347312,#FFA500,#00CCFF,false,true,5
347313,#00FFFF,#FF0066,false,true,5
347314,#FFA500,#9900FF,false,true,
347315,#ADFF2F,#00CCFF,false,true,4
347316,#ADFF2F,#00CCFF,false,true,4
347317,#00FFFF,#00CCFF,false,true,4
347318,#ADFF2F,#FF0066,false,true,5
347319,#008080,#00CCFF,false,true,4
347320,#00FFFF,#FF0066,false,true,5
347321,#edebeb,#00CCFF,false,true,4
347322,#00FFFF,#FF0066,false,true,6
347323,#00FFFF,#00CCFF,false,true,4
347324,#CC0033,#00CCFF,false,true,4
347325,#ADFF2F,#FF0066,false,true,4
347326,#CC0033,#9900FF,false,true,3
347327,#00FFFF,#FF0066,false,true,6
347328,#CC0033,#FF0066,false,true,6
347329,#ADFF2F,#00CCFF,false,true,4
347330,#ADFF2F,#FF0066,false,true,5
347331,#00FFFF,#FF0066,false,true,6
347332,#CC0033,#00CCFF,false,true,4
347333,#CC0033,#00CCFF,false,true,4
347334,#9370DB,#FF0066,false,true,5
347335,#008080,#FF6600,false,true,
347336,#9370DB,#00CCFF,false,true,4
347337,#edebeb,#FF0066,false,true,6
347338,#edebeb,#FF0066,false,true,6
347339,#FFA500,#FF0066,true,true,6
347340,#ADFF2F,#9900FF,false,true,3
347341,#00FFFF,#00CCFF,false,true,4
347342,#edebeb,#FF0066,false,true,6
347343,#FFA500,#00CCFF,false,true,4
347344,#CC0033,#FF0066,false,true,5
347345,#9370DB,#00CCFF,false,true,4
347346,#555555,#00CCFF,false,true,4
347347,#00FFFF,#9900FF,false,true,3
347348,#CC0033,#FF0066,false,true,5
347349,#ADFF2F,#00CCFF,false,true,4
347350,#00FFFF,#FF0066,false,true,5
347351,#00FFFF,#00CCFF,false,true,5
347352,#ADFF2F,#FF0066,false,true,5
347353,#CC0033,#FF0066,false,true,6
347354,#CC0033,#9900FF,false,true,3
347355,#edebeb,#FF0066,false,true,5
347356,#FFA500,#FF0066,false,true,6
347357,#FFA500,#FF0066,false,true,6
347358,#CC0033,#FF0066,false,true,5
347359,#ADFF2F,#FF0066,false,true,5
347360,#CC0033,#FF0066,false,true,6
347361,#008080,#00CCFF,false,true,3
347362,#008080,#FF0066,false,true,5
347363,#9370DB,#FF0066,false,true,6
347364,#9370DB,#FF0066,false,true,5
347365,#008080,#FF0066,false,true,5
347366,#008080,#FF0066,false,true,6
347367,#CC0033,#FF0066,true,true,6
347368,#9370DB,#FF0066,false,true,6
347369,#CC0033,#FF0066,false,true,6
347370,#ADFF2F,#FF0066,false,true,5
347371,#FFA500,#FF0066,false,true,6
347372,#00FFFF,#00CCFF,false,true,4
347373,#ADFF2F,#FF0066,false,true,5
347374,#FFA500,#FF0066,false,true,6
347375,#edebeb,#FF0066,false,true,6
347376,#edebeb,#FF0066,false,true,6
347377,#FFA500,#FF0066,false,true,6
347378,#00FFFF,#FF0066,false,true,6
347379,#CC0033,#00CCFF,false,true,4
347380,#CC0033,#00CCFF,false,true,4
347381,#9370DB,#FF0066,false,true,5
347382,#9370DB,#FF0066,false,true,5
347383,#555555,#FF0066,false,true,5
347384,#00FFFF,#FF0066,false,true,6
347385,#555555,#FF0066,false,true,5
347386,#ADFF2F,#FF0066,true,true,6
347387,#ADFF2F,#FF0066,false,true,5
347388,#CC0033,#FF0066,false,true,5
347389,#555555,#00CCFF,false,true,4
347390,#00FFFF,#FF0066,false,true,6
347391,#9370DB,#FF0066,false,true,5
347392,#00FFFF,#00CCFF,false,true,4
347393,#008080,#FF0066,false,true,5
347394,#9370DB,#FF0066,false,true,5
347395,#FFA500,#FF0066,false,true,6
347396,#555555,#9900FF,false,true,3
347397,#edebeb,#00CCFF,false,true,4
347398,#ADFF2F,#FF0066,false,true,5
347399,#FFA500,#FF0066,false,true,5
347400,#555555,#FF0066,true,true,6
347401,#555555,#00CCFF,false,true,4
347402,#00FFFF,#00CCFF,false,true,4
347403,#CC0033,#00CCFF,false,true,4
347404,#9370DB,#FF0066,true,true,6
347405,#008080,#FF0066,false,true,6
347406,#555555,#FF0066,false,true,5
